"","True","Segmented","Rbeast","mcp","strucchange","Ours"
"158",18.3995035997996,19.0000041012575,19.5,19.6549902881665,19.5,18.6558856364116
"159",14.0414387895351,11.0000076598569,16,15.7192315572931,15.5,14.6025119827993
"160",13.823779241536,18.9649195805311,14.5,15.7845863974418,16,14.5817103142843
"161",18.5088170114839,30.0000603522118,19,20.0074805633775,20,18.6130141127724
"162",15.7888400275951,21.0000002679129,17,16.7299698269022,16.5,15.9870585482186
"163",13.8321904995633,11.9999997127239,14.5,14.2611687395047,14,13.3505416574131
"164",14.7292015271265,16.9999973165939,16,15.915245061803,15.5,15.0302990868681
"165",13.7384807702726,17.9999971978254,14.5,15.9630496159795,14.5,13.9039072263034
"166",16.7637832539361,14.9999998536835,17.5,17.2666134117811,17,16.1179034363032
"167",15.6012351396246,13.0000062390912,16.5,16.6281615644867,16.5,15.8411758455019
"168",14.5641217317554,18.0000186541845,15,14.8308076746135,14.5,14.1224888648825
"169",15.1490831451123,10.8259261214095,14.5,14.778138197326,14.5,13.8864837777214
"170",14.2594890250454,20.0878891339863,15,15.4141353130459,15,14.3168064397186
"171",16.0807874550481,11.0000017270072,18,17.6948689905448,17.5,16.6712925573106
"172",13.3154045038456,17.0000270591643,15,15.4825569190933,15.5,14.1347679595369
"173",14.0682749005997,20.9999969069865,16.5,17.069591284187,17,15.3905857437364
"174",14.2367376319578,17.2556140938677,13,14.1151314633477,13.5,13.0602573002203
"175",15.8563952295161,18.7480069400541,15.5,15.8329303335401,15.5,15.0078162897475
"176",13.540950716932,14.0000057879044,14.5,14.3306397199609,14,13.4986454644246
"177",14.0239243009096,7.99999641451241,15.5,15.0348242504556,15,13.8490104914628
"178",14.1829858835119,16.6629070365876,15,11.1613712809232,15.5,14.3464577155424
"179",15.36886836402,21.9999846651946,17,16.9693674216241,16.5,16.1657891641919
"180",15.6526610362926,10.0000027325931,16.5,16.6233177418421,16.5,15.8211587640933
"181",15.4096195305041,14.0000004080675,16.5,16.5522691325136,16,15.248627656234
"182",18.8743610512298,21.9999999477698,21,20.6504145694929,20.5,19.6654794920343
"183",14.959504461315,11.6534012835148,16,15.7576982009064,15.5,14.7734178693134
